label,youtube_id,time_start,time_end,split
playing lute,_5KN50bPyWM,28,38,train
playing lute,4JqlnxSa2X0,35,45,train
playing lute,6S1ERjw-myY,41,51,train
playing lute,2XAfVOWbEN4,68,78,train
playing lute,W5UDMOgbtfY,49,59,train
playing lute,bM5FiyOdi4E,0,10,train
playing lute,BfY-Mu_Q5Es,61,71,train
playing lute,1HSvQkPWUEE,7,17,train
playing lute,EFJxR6fFwkg,4,14,train
playing lute,eF9y6pUtyJM,0,10,train
playing lute,jvX-wbHT0yE,40,50,train
playing lute,H4FZCtYoapg,108,118,train
playing lute,0pPDcmQeMFQ,134,144,train
playing lute,C5c4Pak987I,46,56,train
playing lute,wmpSYL-XZro,0,10,train
playing lute,j5KGBozhWPo,89,99,train
playing lute,3C8ytGJH_ig,590,600,train
playing lute,lPG_BUU8eqw,69,79,train
playing lute,onTRtT5BsRE,117,127,train
playing lute,ho01wIpdzzw,0,10,train
playing lute,DpRsdCfE3QM,105,115,train
playing lute,qr9V7JpxwIg,0,10,train
playing lute,TxC6Fo807hM,0,10,train
playing lute,uWCNJZC_B5U,39,49,train
playing lute,d4OaRsV5UC4,34,44,train
playing lute,jvCmCfKcg6Q,87,97,train
playing lute,rKtclMknkY4,8,18,train
playing lute,cNw8l7IUNR4,15,25,train
playing lute,dm9no8Mvn4E,1,11,train
playing lute,zL5WLf_uqqQ,82,92,train
playing lute,Tbkp_AsumYs,0,10,train
playing lute,Olbq8H02uqY,57,67,train
playing lute,BsqeDtmg7Js,0,10,train
playing lute,Ix7WGb3-xTM,0,10,train
playing lute,qdkYPOYB7yo,1,11,train
playing lute,zhTDEi3Uem4,0,10,train
playing lute,HzMmH36YK94,81,91,train
playing lute,FOKXrex9gqg,16,26,train
playing lute,xJpTmkmh38Y,135,145,train
playing lute,2HiiEnVZB4Q,3,13,train
playing lute,L8EOADtvT5Y,153,163,train
playing lute,BmJnYHNGyC4,244,254,train
playing lute,3N6KcZ4UmEg,24,34,train
playing lute,7goe9JYZJS8,142,152,train
playing lute,v8Kpn677Wq4,11,21,train
playing lute,CYNz8XJx8Xw,0,10,train
playing lute,sOuzq_E3kCg,0,10,train
playing lute,cWn0J72dqjo,25,35,train
playing lute,99OdYn8jxIM,23,33,train
playing lute,mdVQzHtDA3c,122,132,train
playing lute,-AMtWFqKIpo,11,21,train
playing lute,vVaADMtMwwc,679,689,train
playing lute,ownhQGm8Kzs,5,15,train
playing lute,1W-xf7ueCqQ,8,18,train
playing lute,DQ0W4GF1RR0,9,19,train
playing lute,Z7Ngp_jcY2Y,51,61,train
playing lute,Ub7sIg1s5Qo,184,194,train
playing lute,76oHssONebg,18,28,train
playing lute,lwHZxlFkhsk,24,34,train
