label,youtube_id,time_start,time_end,split
chopping wood,2Ymia0xPx74,25,35,train
chopping wood,h3DMnGqt-pk,5,15,train
chopping wood,EviN8cA-8bo,77,87,train
chopping wood,9hlbPwfDHp0,255,265,train
chopping wood,D-iZe8UZQwQ,17,27,train
chopping wood,WIjngRccFvU,0,10,train
chopping wood,UXbDVe37ul4,4,14,train
chopping wood,AgVXsjHo6RQ,42,52,train
chopping wood,m1NS_XizXA8,0,10,train
chopping wood,yntD5q3ISNo,38,48,train
chopping wood,US2KX2MUQ3I,1,11,train
chopping wood,jSBpEx_F1YA,3,13,train
chopping wood,KCR4Jb0egZc,3,13,train
chopping wood,Ch62g963ZEY,5,15,train
chopping wood,aTM2hXvY6ig,24,34,train
chopping wood,nup8mfGWUkM,11,21,train
chopping wood,3AM3n4R80Rs,104,114,train
chopping wood,scSLHGM6Ayc,7,17,train
chopping wood,dZ3wQxyH1n0,1,11,train
chopping wood,yrBND7b1VwM,19,29,train
chopping wood,fUR_5VMVtIQ,7,17,train
chopping wood,PM4y4Qc9gaY,4,14,train
chopping wood,29Ig2aJrTA4,3,13,train
chopping wood,-Q9WotFs1MI,29,39,train
chopping wood,vXaD4DVF8eA,15,25,train
chopping wood,QFd9kfV3cp0,0,10,train
chopping wood,iZhy2i3KrXY,29,39,train
chopping wood,DsN73ezuXF0,2,12,train
chopping wood,ZrcQssHhRD0,2,12,train
chopping wood,GfiRLO9n3zY,1,11,train
chopping wood,fFLhptGE-T8,0,10,train
chopping wood,_JgG2UIOkik,41,51,train
chopping wood,5y3g6CZFshc,1,11,train
chopping wood,c6nOF_v26TE,0,10,train
chopping wood,89kwB9LCrns,2,12,train
chopping wood,JPYChdSZww8,54,64,train
chopping wood,WH7TSnyvrpg,1,11,train
chopping wood,w-Rc-4cwJ1Y,324,334,train
chopping wood,zs_wdhbkQjQ,2,12,train
chopping wood,t5mhMQ7DMmg,3,13,train
chopping wood,uZ7rFqMFYwc,2,12,train
chopping wood,qaaL-4vunfo,95,105,train
chopping wood,VDJed5vdSwE,180,190,train
chopping wood,TgPAe3q_vxI,87,97,train
chopping wood,lObPDjdsnqs,21,31,train
chopping wood,LL14GX1UBY8,1,11,train
chopping wood,dkBYN6otb2A,2,12,train
chopping wood,kd03gRu0gEo,16,26,train
chopping wood,n8Eh1WACw-g,10,20,train
chopping wood,K-6SXd9H91g,68,78,train
chopping wood,IR2gxXt99s0,9,19,train
chopping wood,qPBtTAkM4wE,73,83,train
chopping wood,8ANL4Z5COTo,25,35,train
chopping wood,fxwljOXG8TA,44,54,train
chopping wood,sFFFZdXlpew,29,39,train
chopping wood,TK3KjW69JjQ,8,18,train
chopping wood,765MTxuUM3M,96,106,train
chopping wood,SzKwz-sKdWc,29,39,train
chopping wood,4H5N0kFq78w,0,10,train
chopping wood,v5W4hzOdbNY,96,106,train
chopping wood,WSSAH2GbpzQ,23,33,train
clam digging,vE14GTmdSA4,14,24,train
clam digging,j0DgDIunYLA,81,91,train
clam digging,z3ooC2V6XX0,28,38,train
clam digging,2eiRojkJ_P0,8,18,train
clam digging,nz9Bf08K9pg,27,37,train
